baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG
0.2660689651966095,-0.19554919004440308,1000,820,-0.20641760528087616,802,-0.18762019276618958
0.2660689651966095,-0.19554919004440308,2000,1817,-0.1665010005235672,1766,-0.13916054368019104
0.2660689651966095,-0.19554919004440308,3000,2791,-0.20921824872493744,2785,-0.10451246052980423
0.2660689651966095,-0.19554919004440308,4000,3810,-0.1621740162372589,3800,-0.05066182464361191
0.2660689651966095,-0.19554919004440308,5000,4814,-0.060983289033174515,4798,-0.04462789371609688
0.2660689651966095,-0.19554919004440308,6000,5813,0.01945391297340393,5844,-0.07098617404699326
0.2660689651966095,-0.19554919004440308,7000,6874,-0.028175488114356995,6816,-0.06312062591314316
0.2660689651966095,-0.19554919004440308,8000,7917,-0.04863719269633293,7836,-0.04313390702009201
0.2660689651966095,-0.19554919004440308,9000,8929,-0.05434158816933632,8862,-0.03310612216591835
0.2660689651966095,-0.19554919004440308,10000,9929,-0.012071412056684494,9852,-0.013544851914048195
0.2660689651966095,-0.19554919004440308,11000,10936,0.07955930382013321,10868,0.06361932307481766
0.2660689651966095,-0.19554919004440308,12000,11942,0.060709208250045776,11854,0.06491149961948395
0.2660689651966095,-0.19554919004440308,13000,12940,0.043734315782785416,12864,0.17074503004550934
0.2660689651966095,-0.19554919004440308,14000,13944,0.05475294589996338,13901,0.1579841822385788
0.2660689651966095,-0.19554919004440308,15000,14949,0.0005582555313594639,14905,0.09050542116165161
0.2660689651966095,-0.19554919004440308,16000,15960,0.02322131209075451,15905,0.13751177489757538
0.2660689651966095,-0.19554919004440308,17000,16963,-0.01658470742404461,16901,0.16608037054538727
0.2660689651966095,-0.19554919004440308,18000,17968,0.08115728199481964,17910,0.1821843832731247
0.2660689651966095,-0.19554919004440308,19000,18968,0.055739548057317734,18922,0.2254493683576584
0.2660689651966095,-0.19554919004440308,20000,19965,0.023596465587615967,19917,0.19984745979309082
