scale,std_mean,std_std,acc_mean,acc_std,mean_majority_mean,mean_majority_std,std_change_mean,std_change_std,acc_change_mean,acc_change_std,mean_majority_change_mean,mean_majority_change_std
baseline,0.21685264733967377,0.01669373072197383,0.7913194444444445,0.023644136534721805,33.954166666666666,0.3811418334717711,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.2136576714937589,0.017043078486153395,0.810763888888889,0.01800038311920808,34.1625,0.4027358694672683,-0.014901592340893785,0.005546258387823497,0.024802606121980892,0.012910471541371276,0.00620780466734247,0.014033798425818885
0.2,0.2025116205672306,0.016029095586471424,0.8208333333333332,0.02081162062984862,34.266666666666666,0.4624343046434938,-0.06622705195310673,0.010557999781816228,0.03748744458808871,0.014754426913062753,0.009258922381378475,0.014135318445919452
0.3,0.18947155153988454,0.01450053292757115,0.8179398148148149,0.01743137786413091,33.954166666666666,0.6369346621819921,-0.1261260192397815,0.016717692255011206,0.03399195091913343,0.020694980064854755,2.9958700120158442e-05,0.017469953582898167
0.4,0.18250411050420914,0.014307895093160574,0.7924768518518519,0.019814159029906214,33.65416666666667,0.49445712374504597,-0.15824056195769007,0.022085074962604468,0.0021715741696369355,0.03880456166179335,-0.008710032644807636,0.020052869109213334
0.5,0.18400280352443793,0.01681741326863596,0.7387731481481481,0.05482832031054876,34.1375,0.6418898421415036,-0.15200262226437103,0.02661849181490299,-0.06482742740435081,0.08750488267841514,0.005641186832397725,0.028901016355443752
