baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG
0.2864821553230285,-0.22279654443264,1000,542,-0.18449003994464874,499,-0.18161162734031677
0.2864821553230285,-0.22279654443264,2000,1475,-0.15369302034378052,1422,-0.1508515328168869
0.2864821553230285,-0.22279654443264,3000,2397,-0.08193369954824448,2320,-0.16893695294857025
0.2864821553230285,-0.22279654443264,4000,3427,-0.022703370079398155,3316,-0.1374203860759735
0.2864821553230285,-0.22279654443264,5000,4570,-0.10104116797447205,4334,-0.006065985653549433
0.2864821553230285,-0.22279654443264,6000,5634,-0.08615371584892273,5415,-0.04917232692241669
0.2864821553230285,-0.22279654443264,7000,6641,-0.08561205863952637,6545,-0.12291399389505386
0.2864821553230285,-0.22279654443264,8000,7719,-0.023428091779351234,7622,-0.03538276627659798
0.28648215532302856,-0.22279654443264008,9000,8739,-0.08483756333589554,8700,-0.058569759130477905
0.28648215532302856,-0.22279654443264008,10000,9785,0.15276940166950226,9724,-0.036230701953172684
0.28648215532302856,-0.22279654443264008,11000,10830,0.12228025496006012,10746,0.046409934759140015
0.28648215532302856,-0.22279654443264008,12000,11853,0.24127863347530365,11761,0.03486187756061554
0.28648215532302856,-0.22279654443264008,13000,12867,0.10425106436014175,12753,0.022888856008648872
0.28648215532302856,-0.22279654443264008,14000,13865,0.005553242284804583,13736,0.0036916357930749655
0.28648215532302856,-0.22279654443264008,15000,14860,0.04385907202959061,14823,-0.03476935997605324
