baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,normalized_faithfulness_EAP,normalized_faithfulness_EAP-IG
0.2864821553230285,-0.22279654443264,1000,542,-0.1844900399446487,499,-0.1816116273403167,0.07521717383108548,0.08086911373297602
0.2864821553230285,-0.22279654443264,2000,1475,-0.1536930203437805,1422,-0.1508515328168869,0.13568901295501382,0.14126844819991377
0.2864821553230285,-0.22279654443264,3000,2397,-0.0819336995482444,2320,-0.1689369529485702,0.2765928458268055,0.10575661520874419
0.2864821553230285,-0.22279654443264,4000,3427,-0.0227033700793981,3316,-0.1374203860759735,0.39289523486695704,0.16764132958560124
0.2864821553230285,-0.22279654443264,5000,4570,-0.101041167974472,4334,-0.0060659856535494,0.23907415824887499,0.42556376083089514
0.2864821553230285,-0.22279654443264,6000,5634,-0.0861537158489227,5415,-0.0491723269224166,0.2683065846839325,0.3409218127393141
0.2864821553230285,-0.22279654443264,7000,6641,-0.0856120586395263,6545,-0.1229139938950538,0.2693701618758635,0.1961255214198156
0.2864821553230285,-0.22279654443264,8000,7719,-0.0234280917793512,7622,-0.0353827662765979,0.3914721993064657,0.36799846183623175
0.2864821553230285,-0.22279654443264,9000,8739,-0.0848375633358955,8700,-0.0585697591304779,0.2708909309635994,0.3224693775352307
0.2864821553230285,-0.22279654443264,10000,9785,0.1527694016695022,9724,-0.0362307019531726,0.7374467973671855,0.36633348806650307
0.2864821553230285,-0.22279654443264,11000,10830,0.1222802549600601,10746,0.04640993475914,0.6775794855709734,0.5286034529245666
0.2864821553230285,-0.22279654443264,12000,11853,0.2412786334753036,11761,0.0348618775606155,0.9112401090612826,0.5059281334893245
0.2864821553230285,-0.22279654443264,13000,12867,0.1042510643601417,12753,0.0228888560086488,0.6421780627182838,0.4824183704505191
0.2864821553230285,-0.22279654443264,14000,13865,0.0055532422848045,13736,0.0036916357930749,0.4483788283841393,0.4447234497228626
0.2864821553230285,-0.22279654443264,15000,14860,0.0438590720295906,14823,-0.0347693599760532,0.5235946773155077,0.36920292277449396
