baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG
-0.8265822529792786,-0.860529363155365,1000,559,-0.8234716057777405,553,-0.8570684194564819
-0.8265822529792786,-0.860529363155365,2000,1466,-0.8439953327178955,1385,-0.795221745967865
-0.8265822529792786,-0.860529363155365,3000,2496,-0.8212980628013611,2357,-0.7158064842224121
-0.8265822529792786,-0.860529363155365,4000,3562,-0.7726235389709473,3343,-0.7416152954101562
-0.8265822529792786,-0.860529363155365,5000,4589,-0.8342844247817993,4413,-0.7489334344863892
-0.8265822529792786,-0.860529363155365,6000,5638,-0.8193863034248352,5424,-0.7524734735488892
-0.8265822529792786,-0.860529363155365,7000,6633,-0.8286005258560181,6449,-0.7907781600952148
-0.8265822529792786,-0.860529363155365,8000,7665,-0.7843692898750305,7562,-0.748104989528656
