baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,normalized_faithfulness_EAP,normalized_faithfulness_EAP-IG,normalized_faithfulness_EAP-IG-KL
-0.3477781414985657,-0.5382930636405945,500,377,-0.5465929508209229,383,-0.5592896342277527,387,-0.5217580199241638,-0.043565549023717974,-0.1102095854281969,0.08679133125385209
-0.3477781414985657,-0.5382930636405945,1000,844,-0.5224920511245728,833,-0.5235322713851929,856,-0.500678539276123,0.08293845090119543,0.0774784047855183,0.19743610600974248
-0.3477781414985657,-0.5382930636405945,1500,1337,-0.5278685688972473,1327,-0.4855591952800751,1380,-0.5053099989891052,0.054717471083843554,0.2767965247425938,0.17312588578704818
-0.3477781414985657,-0.5382930636405945,2000,1843,-0.4674226343631744,1835,-0.4552209973335266,1863,-0.5134055614471436,0.3719941119603546,0.4360396832597589,0.13063282347456912
-0.3477781414985657,-0.5382930636405945,2500,2348,-0.4697936177253723,2316,-0.4500509202480316,2355,-0.4832254350185394,0.3595489799174673,0.46317706980862305,0.28904627523613197
-0.3477781414985657,-0.5382930636405945,3000,2829,-0.4584607779979706,2842,-0.4601145088672638,2867,-0.4726146459579468,0.41903429266873365,0.4103539706724316,0.34474159264902343
-0.3477781414985657,-0.5382930636405945,3500,3331,-0.4830691814422607,3340,-0.4641724526882171,3362,-0.4745722413063049,0.28986643973832354,0.38905409675532127,0.33446630645963654
-0.3477781414985657,-0.5382930636405945,4000,3861,-0.4837722182273865,3825,-0.4769997000694275,3849,-0.4515470266342163,0.28617624698480437,0.3217247388394743,0.45532410811216684
-0.3477781414985657,-0.5382930636405945,4500,4385,-0.4550810158252716,4302,-0.4798256158828735,4345,-0.4643188714981079,0.4367744367724032,0.30689169698808966,0.38828555427977884
-0.3477781414985657,-0.5382930636405945,5000,4878,-0.4417504668235779,4827,-0.4757933914661407,4859,-0.4520211219787597,0.506745591009633,0.32805657148399275,0.4528356135668946
-0.3477781414985657,-0.5382930636405945,5500,5377,-0.4622868597507477,5343,-0.4609992802143097,5361,-0.4520886838436126,0.39895144713748043,0.4057098654385839,0.45248098588685104
-0.3477781414985657,-0.5382930636405945,6000,5881,-0.458977073431015,5867,-0.4645804166793823,5892,-0.4414679706096649,0.4163242927000197,0.38691272123167025,0.5082283946175433
-0.3477781414985657,-0.5382930636405945,6500,6381,-0.4713836014270782,6377,-0.4750953614711761,6399,-0.4311556220054626,0.35120326251208456,0.33172048393303555,0.5623572181671993
-0.3477781414985657,-0.5382930636405945,7000,6901,-0.4634049236774444,6873,-0.4669996500015259,6908,-0.4044706225395202,0.3930828048593537,0.3742143283974333,0.7024249838094556
-0.3477781414985657,-0.5382930636405945,7500,7408,-0.4352999925613403,7374,-0.4613729417324066,7409,-0.4073907732963562,0.5406036961371083,0.4037485412866712,0.6870973090845381
-0.3477781414985657,-0.5382930636405945,8000,7914,-0.4294873774051666,7866,-0.4699628055095672,7909,-0.4044162631034851,0.571113721760405,0.3586609246287128,0.7027103128294815
-0.3477781414985657,-0.5382930636405945,8500,8414,-0.4321361184120178,8376,-0.4572669863700866,8405,-0.4240732491016388,0.5572106585406297,0.4253004245520619,0.5995321167220952
-0.3477781414985657,-0.5382930636405945,9000,8912,-0.4002450406551361,8880,-0.454924076795578,8922,-0.4259735345840454,0.7246047786353639,0.43759819917342185,0.5895576461607291
-0.3477781414985657,-0.5382930636405945,9500,9431,-0.4052388966083526,9370,-0.4568074345588684,9417,-0.4365560710430145,0.6983923649458285,0.4277125810700464,0.5340106247516667
